cycle,T_K,I_on_A,I_off_A,Rwin_Ion_over_Ioff,tau_s,retention_drop_frac_at_tobs
1.400000000000000000e+01,2.500000000000000000e+02,2.419624320531980725e-03,1.102127119113089374e-04,2.195413104868625354e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.400000000000000000e+01,2.750000000000000000e+02,2.640880247502663293e-03,1.202908118588776938e-04,2.195413104868625354e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.400000000000000000e+01,3.000000000000000000e+02,2.882368317456969736e-03,1.312904760869345493e-04,2.195413104868625354e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.400000000000000000e+01,3.250000000000000000e+02,3.145938603363855873e-03,1.432959745201170445e-04,2.195413104868625354e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.400000000000000000e+01,3.500000000000000000e+02,3.433610353053943420e-03,1.563992829157960604e-04,2.195413104868624998e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.400000000000000000e+01,3.750000000000000000e+02,3.747587458951959043e-03,1.707007875028702893e-04,2.195413104868625354e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.500000000000000000e+01,2.500000000000000000e+02,2.412720974806221996e-03,1.104385894358793938e-04,2.184672030972513568e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.500000000000000000e+01,2.750000000000000000e+02,2.633345644211508400e-03,1.205373441357816404e-04,2.184672030972513213e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.500000000000000000e+01,3.000000000000000000e+02,2.874144732979192450e-03,1.315595518334968721e-04,2.184672030972513213e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.500000000000000000e+01,3.250000000000000000e+02,3.136963035699593012e-03,1.435896551622517178e-04,2.184672030972513213e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.500000000000000000e+01,3.500000000000000000e+02,3.423814039157799249e-03,1.567198183808705730e-04,2.184672030972513213e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.500000000000000000e+01,3.750000000000000000e+02,3.736895347929957475e-03,1.710506334567055034e-04,2.184672030972513213e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.600000000000000000e+01,2.500000000000000000e+02,2.405837324775288773e-03,1.106507687554942460e-04,2.174261735218020775e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.600000000000000000e+01,2.750000000000000000e+02,2.625832537634114131e-03,1.207689256128500452e-04,2.174261735218020775e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.600000000000000000e+01,3.000000000000000000e+02,2.865944610923359687e-03,1.318123096452314435e-04,2.174261735218020775e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.600000000000000000e+01,3.250000000000000000e+02,3.128013075914265993e-03,1.438655257206469394e-04,2.174261735218020775e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.600000000000000000e+01,3.500000000000000000e+02,3.414045674783029033e-03,1.570209151678185998e-04,2.174261735218020775e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.600000000000000000e+01,3.750000000000000000e+02,3.726233742196854125e-03,1.713792632156685403e-04,2.174261735218020775e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.700000000000000000e+01,2.500000000000000000e+02,2.398973314246080537e-03,1.108508167392250769e-04,2.164145817607848699e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.700000000000000000e+01,2.750000000000000000e+02,2.618340866438954688e-03,1.209872664372104551e-04,2.164145817607848699e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.700000000000000000e+01,3.000000000000000000e+02,2.857767884349653176e-03,1.320506160489917245e-04,2.164145817607848699e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.700000000000000000e+01,3.250000000000000000e+02,3.119088650946929067e-03,1.441256234015983212e-04,2.164145817607848699e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.700000000000000000e+01,3.500000000000000000e+02,3.404305180187827164e-03,1.573047967696925248e-04,2.164145817607848699e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.700000000000000000e+01,3.750000000000000000e+02,3.715602554719072900e-03,1.716891035940515387e-04,2.164145817607848699e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.800000000000000000e+01,2.500000000000000000e+02,2.392128887185821645e-03,1.110400458985809504e-04,2.154293856624200387e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.800000000000000000e+01,2.750000000000000000e+02,2.610870569469491038e-03,1.211937991393964787e-04,2.154293856624200032e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.800000000000000000e+01,3.000000000000000000e+02,2.849614486509240326e-03,1.322760345691471515e-04,2.154293856624200032e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.800000000000000000e+01,3.250000000000000000e+02,3.110189687945084328e-03,1.443716547016841328e-04,2.154293856624200032e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.800000000000000000e+01,3.500000000000000000e+02,3.394592475857900055e-03,1.575733257289820260e-04,2.154293856624200387e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.800000000000000000e+01,3.750000000000000000e+02,3.705001698711352532e-03,1.719821874494469906e-04,2.154293856624200032e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.900000000000000000e+01,2.500000000000000000e+02,2.385303987721599031e-03,1.112195666275829145e-04,2.144680167392446535e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.900000000000000000e+01,2.750000000000000000e+02,2.603421585743664803e-03,1.213897356503728389e-04,2.144680167392446890e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.900000000000000000e+01,3.000000000000000000e+02,2.841484350843725623e-03,1.324898879583742402e-04,2.144680167392446535e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.900000000000000000e+01,3.250000000000000000e+02,3.101316114264086703e-03,1.446050633290809544e-04,2.144680167392446535e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.900000000000000000e+01,3.500000000000000000e+02,3.384907482505810413e-03,1.578280777698085448e-04,2.144680167392446535e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.900000000000000000e+01,3.750000000000000000e+02,3.694431087636032736e-03,1.722602345937581097e-04,2.144680167392446535e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.000000000000000000e+01,2.500000000000000000e+02,2.378498560139910307e-03,1.113903266839295171e-04,2.135282866068710916e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.000000000000000000e+01,2.750000000000000000e+02,2.595993854453403429e-03,1.215761103929481764e-04,2.135282866068710561e+01,1.460036572372009978e+07,1.121054822539313545e-02
2.000000000000000000e+01,3.000000000000000000e+02,2.833377410984609397e-03,1.326933052294456392e-04,2.135282866068710916e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.000000000000000000e+01,3.250000000000000000e+02,3.092467857466550240e-03,1.448270815360459146e-04,2.135282866068710916e+01,7.863364131961344974e+05,1.446954299318927717e-01
2.000000000000000000e+01,3.500000000000000000e+02,3.375250121070334525e-03,1.580703978243659343e-04,2.135282866068711272e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.000000000000000000e+01,3.750000000000000000e+02,3.683890635202352517e-03,1.725247129428242061e-04,2.135282866068710561e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.100000000000000000e+01,2.500000000000000000e+02,2.371712548886206664e-03,1.115531414771626749e-04,2.126083154163567102e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.100000000000000000e+01,2.750000000000000000e+02,2.588587314964126227e-03,1.217538133395593830e-04,2.126083154163567102e+01,1.460036572372009978e+07,1.121054822539313545e-02
2.100000000000000000e+01,3.000000000000000000e+02,2.825293600752746149e-03,1.328872577358931645e-04,2.126083154163567102e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.100000000000000000e+01,3.250000000000000000e+02,3.083644845321758306e-03,1.450387694988774080e-04,2.126083154163567102e+01,7.863364131961344974e+05,1.446954299318927717e-01
2.100000000000000000e+01,3.500000000000000000e+02,3.365620312715814771e-03,1.583014430138740536e-04,2.126083154163566746e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.100000000000000000e+01,3.750000000000000000e+02,3.673380255365744571e-03,1.727768854276495757e-04,2.126083154163567102e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.200000000000000000e+01,2.500000000000000000e+02,2.364945898564440110e-03,1.117087176185944258e-04,2.117064763592616927e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.200000000000000000e+01,2.750000000000000000e+02,2.581201906814243469e-03,1.219236157156569449e-04,2.117064763592616927e+01,1.460036572372009978e+07,1.121054822539313545e-02
2.200000000000000000e+01,3.000000000000000000e+02,2.817232854157802890e-03,1.330725872257688817e-04,2.117064763592616927e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.200000000000000000e+01,3.250000000000000000e+02,3.074847005805072479e-03,1.452410459369754157e-04,2.117064763592616572e+01,7.863364131961344974e+05,1.446954299318927717e-01
2.200000000000000000e+01,3.500000000000000000e+02,3.356017978831517777e-03,1.585222160675151958e-04,2.117064763592616927e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.200000000000000000e+01,3.750000000000000000e+02,3.662899862327129684e-03,1.730178464692436570e-04,2.117064763592616572e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.300000000000000000e+01,2.500000000000000000e+02,2.358198553936611142e-03,1.118576714554990811e-04,2.108213521032203275e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.300000000000000000e+01,2.750000000000000000e+02,2.573837569714668930e-03,1.220861902287056274e-04,2.108213521032203630e+01,1.460036572372009978e+07,1.121054822539313545e-02
2.300000000000000000e+01,3.000000000000000000e+02,2.809195105397721808e-03,1.332500279204314425e-04,2.108213521032203275e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.300000000000000000e+01,3.250000000000000000e+02,3.066074267097346207e-03,1.454347122105622311e-04,2.108213521032203630e+01,7.863364131961344974e+05,1.446954299318927717e-01
